leg,event,block,kind,seed,n_dims,n_gt,top_k_pred,gt_channels,precision_at_g,chance_mrr,chance_hit@1,chance_precision@1,chance_recall@1,chance_ndcg@1,chance_hit@3,chance_precision@3,chance_recall@3,chance_ndcg@3,chance_hit@5,chance_precision@5,chance_recall@5,chance_ndcg@5,chance_hit@10,chance_precision@10,chance_recall@10,chance_ndcg@10,mrr,hit@1,precision@1,recall@1,ndcg@1,hit@3,precision@3,recall@3,ndcg@3,hit@5,precision@5,recall@5,ndcg@5,hit@10,precision@10,recall@10,ndcg@10
TelecomTS,A-Youtube-No-No@17695587520:112-170,train,Antenna Failure,0,18,13,"['UL_SNR', 'RSRP', 'RX_Bytes', 'UL_NPRB', 'PRBs_UL_Current', 'Estimated_UL_Buffer', 'UL_MCS', 'UL_BLER', 'DL_MCS', 'DL_NumberOfPackets', 'TX_Bytes', 'DL_BLER', 'DL_Protocol']","['DL_BLER', 'DL_MCS', 'DL_NumberOfPackets', 'Estimated_UL_Buffer', 'PRBs_DL_Current', 'PRBs_UL_Current', 'RSRP', 'RX_Bytes', 'TX_Bytes', 'UL_BLER', 'UL_MCS', 'UL_NumberOfPackets', 'UL_SNR']",0.8461538461538461,0.8420583333333324,0.7085,0.7085,0.05450000000000159,0.7085,0.9875,0.7191666666666693,0.16596153846153688,0.7175445233152257,0.9995,0.722299999999986,0.2778076923076925,0.7203446350108549,1.0,0.7229000000000003,0.5560769230769264,0.7214779728703148,1.0,1,1.0,0.07692307692307693,1.0,1,1.0,0.23076923076923078,1.0,1,0.8,0.3076923076923077,0.8539316501572937,1,0.9,0.6923076923076923,0.9052116356304493
TelecomTS,A-Twitch-No-No@17883074560:115-219,train,Antenna Failure,0,18,13,"['UL_BLER', 'Estimated_UL_Buffer', 'RSRP', 'RX_Bytes', 'UL_NPRB', 'UL_MCS', 'DL_Protocol', 'DL_BLER', 'UL_NumberOfPackets', 'TX_Bytes', 'UL_SNR', 'PRB_Utilization_UL', 'UL_Protocol']","['DL_BLER', 'DL_MCS', 'DL_NumberOfPackets', 'Estimated_UL_Buffer', 'PRBs_DL_Current', 'PRBs_UL_Current', 'RSRP', 'RX_Bytes', 'TX_Bytes', 'UL_BLER', 'UL_MCS', 'UL_NumberOfPackets', 'UL_SNR']",0.6923076923076923,0.8420583333333324,0.7085,0.7085,0.05450000000000159,0.7085,0.9875,0.7191666666666693,0.16596153846153688,0.7175445233152257,0.9995,0.722299999999986,0.2778076923076925,0.7203446350108549,1.0,0.7229000000000003,0.5560769230769264,0.7214779728703148,1.0,1,1.0,0.07692307692307693,1.0,1,1.0,0.23076923076923078,1.0,1,0.8,0.3076923076923077,0.8687949224876582,1,0.8,0.6153846153846154,0.841492960259019
TelecomTS,A-Twitch-No-No@17883078368:113-280,train,Antenna Failure,0,18,13,"['RSRP', 'UL_NPRB', 'RX_Bytes', 'UL_SNR', 'DL_Protocol', 'UL_NumberOfPackets', 'TX_Bytes', 'UL_MCS', 'UL_BLER', 'Estimated_UL_Buffer', 'DL_BLER', 'PRB_Utilization_UL', 'DL_NumberOfPackets']","['DL_BLER', 'DL_MCS', 'DL_NumberOfPackets', 'Estimated_UL_Buffer', 'PRBs_DL_Current', 'PRBs_UL_Current', 'RSRP', 'RX_Bytes', 'TX_Bytes', 'UL_BLER', 'UL_MCS', 'UL_NumberOfPackets', 'UL_SNR']",0.7692307692307693,0.8420583333333324,0.7085,0.7085,0.05450000000000159,0.7085,0.9875,0.7191666666666693,0.16596153846153688,0.7175445233152257,0.9995,0.722299999999986,0.2778076923076925,0.7203446350108549,1.0,0.7229000000000003,0.5560769230769264,0.7214779728703148,1.0,1,1.0,0.07692307692307693,1.0,1,0.6666666666666666,0.15384615384615385,0.7039180890341347,1,0.6,0.23076923076923078,0.6548086577531307,1,0.8,0.6153846153846154,0.7759944384848244
TelecomTS,A-Twitch-No-No@17883080160:123-336,train,Antenna Failure,0,18,13,"['RSRP', 'UL_NPRB', 'DL_BLER', 'UL_MCS', 'UL_SNR', 'UL_Protocol', 'RX_Bytes', 'UL_NumberOfPackets', 'DL_Protocol', 'TX_Bytes', 'PRB_Utilization_UL', 'DL_NumberOfPackets', 'UL_BLER']","['DL_BLER', 'DL_MCS', 'DL_NumberOfPackets', 'Estimated_UL_Buffer', 'PRBs_DL_Current', 'PRBs_UL_Current', 'RSRP', 'RX_Bytes', 'TX_Bytes', 'UL_BLER', 'UL_MCS', 'UL_NumberOfPackets', 'UL_SNR']",0.6923076923076923,0.8420583333333324,0.7085,0.7085,0.05450000000000159,0.7085,0.9875,0.7191666666666693,0.16596153846153688,0.7175445233152257,0.9995,0.722299999999986,0.2778076923076925,0.7203446350108549,1.0,0.7229000000000003,0.5560769230769264,0.7214779728703148,1.0,1,1.0,0.07692307692307693,1.0,1,0.6666666666666666,0.15384615384615385,0.7039180890341347,1,0.8,0.3076923076923077,0.7860137352654724,1,0.7,0.5384615384615384,0.716485063693381
TelecomTS,C-File-No-No@20501856960:108-331,train,Antenna Failure,0,18,13,"['RSRP', 'RX_Bytes', 'UL_NPRB', 'TX_Bytes', 'UL_SNR', 'Estimated_UL_Buffer', 'UL_MCS', 'UL_NumberOfPackets', 'DL_Protocol', 'DL_NumberOfPackets', 'PRBs_DL_Current', 'PRB_Utilization_UL', 'UL_Protocol']","['DL_BLER', 'DL_MCS', 'DL_NumberOfPackets', 'Estimated_UL_Buffer', 'PRBs_DL_Current', 'PRBs_UL_Current', 'RSRP', 'RX_Bytes', 'TX_Bytes', 'UL_BLER', 'UL_MCS', 'UL_NumberOfPackets', 'UL_SNR']",0.6923076923076923,0.8420583333333324,0.7085,0.7085,0.05450000000000159,0.7085,0.9875,0.7191666666666693,0.16596153846153688,0.7175445233152257,0.9995,0.722299999999986,0.2778076923076925,0.7203446350108549,1.0,0.7229000000000003,0.5560769230769264,0.7214779728703148,1.0,1,1.0,0.07692307692307693,1.0,1,0.6666666666666666,0.15384615384615385,0.7653606369886217,1,0.8,0.3076923076923077,0.830419897363192,1,0.8,0.6153846153846154,0.8236998933965709
TelecomTS,A-Youtube-No-No@17695588128:107-560,train,Buffer Overflow (Gradual Buildup),0,18,10,"['RX_Bytes', 'UL_NPRB', 'UL_SNR', 'RSRP', 'Estimated_UL_Buffer', 'DL_BLER', 'TX_Bytes', 'UL_BLER', 'PRBs_UL_Current', 'PRB_Utilization_UL']","['DL_BLER', 'DL_NumberOfPackets', 'Estimated_UL_Buffer', 'PRB_Utilization_DL', 'PRB_Utilization_UL', 'RX_Bytes', 'TX_Bytes', 'UL_BLER', 'UL_NPRB', 'UL_NumberOfPackets']",0.7,0.7301172619047606,0.5435,0.5435,0.05434999999999905,0.5435,0.921,0.5398333333333323,0.16194999999999912,0.5398437224176713,0.994,0.5532999999999975,0.27664999999999873,0.5490419444039617,1.0,0.5561500000000033,0.5561500000000033,0.5525115122318109,1.0,1,1.0,0.1,1.0,1,0.6666666666666666,0.2,0.7653606369886217,1,0.6,0.3,0.6843515475204855,1,0.7,0.7,0.7289115290270202
TelecomTS,A-Youtube-No-No@17695588128:602-644,train,Faulty RF Filters (Temporal),0,18,9,"['UL_NPRB', 'UL_SNR', 'RSRP', 'RX_Bytes', 'Estimated_UL_Buffer', 'UL_BLER', 'TX_Bytes', 'DL_Protocol', 'DL_NumberOfPackets']","['DL_BLER', 'PRB_Utilization_DL', 'PRB_Utilization_UL', 'RSRP', 'RX_Bytes', 'TX_Bytes', 'UL_BLER', 'UL_NPRB', 'UL_SNR']",0.6666666666666666,0.6966555555555551,0.4975,0.4975,0.05527777777777884,0.4975,0.898,0.4896666666666679,0.16322222222222244,0.4909721729279834,0.984,0.49030000000000035,0.27238888888888696,0.4908894268149031,1.0,0.49549999999999955,0.5505555555555552,0.5280112389426909,1.0,1,1.0,0.1111111111111111,1.0,1,1.0,0.3333333333333333,1.0,1,0.8,0.4444444444444444,0.8687949224876582,1,0.7,0.7777777777777778,0.8321109942931567
TelecomTS,A-Youtube-No-No@17695589952:121-202,train,Buffer Overflow (Gradual Buildup),0,18,10,"['RSRP', 'UL_NPRB', 'RX_Bytes', 'Estimated_UL_Buffer', 'UL_SNR', 'DL_BLER', 'UL_BLER', 'TX_Bytes', 'DL_Protocol', 'DL_NumberOfPackets']","['DL_BLER', 'DL_NumberOfPackets', 'Estimated_UL_Buffer', 'PRB_Utilization_DL', 'PRB_Utilization_UL', 'RX_Bytes', 'TX_Bytes', 'UL_BLER', 'UL_NPRB', 'UL_NumberOfPackets']",0.7,0.7301172619047606,0.5435,0.5435,0.05434999999999905,0.5435,0.921,0.5398333333333323,0.16194999999999912,0.5398437224176713,0.994,0.5532999999999975,0.27664999999999873,0.5490419444039617,1.0,0.5561500000000033,0.5561500000000033,0.5525115122318109,0.5,0,0.0,0.0,0.0,1,0.6666666666666666,0.2,0.5307212739772434,1,0.6,0.3,0.5296347172140421,1,0.7,0.7,0.6285108926059098
TelecomTS,A-Youtube-No-No@17695589952:297-666,train,Faulty RF Filters (Temporal),0,18,9,"['RSRP', 'UL_NPRB', 'RX_Bytes', 'UL_SNR', 'Estimated_UL_Buffer', 'DL_BLER', 'DL_Protocol', 'UL_BLER', 'DL_NumberOfPackets']","['DL_BLER', 'PRB_Utilization_DL', 'PRB_Utilization_UL', 'RSRP', 'RX_Bytes', 'TX_Bytes', 'UL_BLER', 'UL_NPRB', 'UL_SNR']",0.6666666666666666,0.6966555555555551,0.4975,0.4975,0.05527777777777884,0.4975,0.898,0.4896666666666679,0.16322222222222244,0.4909721729279834,0.984,0.49030000000000035,0.27238888888888696,0.4908894268149031,1.0,0.49549999999999955,0.5505555555555552,0.5280112389426909,1.0,1,1.0,0.1111111111111111,1.0,1,1.0,0.3333333333333333,1.0,1,0.8,0.4444444444444444,0.8687949224876582,1,0.7,0.7777777777777778,0.8279110931067362
TelecomTS,A-Youtube-No-No@17695589952:781-964,train,Resource Allocation Bugs,0,18,9,"['UL_NPRB', 'UL_SNR', 'RX_Bytes', 'DL_BLER', 'Estimated_UL_Buffer', 'RSRP', 'PRB_Utilization_UL', 'UL_BLER', 'DL_Protocol']","['DL_BLER', 'PRB_Utilization_DL', 'PRB_Utilization_UL', 'PRBs_DL_Current', 'PRBs_UL_Current', 'RX_Bytes', 'TX_Bytes', 'UL_BLER', 'UL_NPRB']",0.5555555555555556,0.698077182539682,0.4995,0.4995,0.055500000000001076,0.4995,0.8945,0.4923333333333332,0.16411111111111162,0.49356433674991496,0.9875,0.4937999999999999,0.27433333333333154,0.4941356385408359,1.0,0.49530000000000013,0.550333333333332,0.5285822748173552,1.0,1,1.0,0.1111111111111111,1.0,1,0.6666666666666666,0.2222222222222222,0.7039180890341347,1,0.6,0.3333333333333333,0.6548086577531307,1,0.6,0.6666666666666666,0.6742374650088887
